,lat,long,bikes_available,bikes_in_use,total_bikes
0,52.504157,13.335328,4,0,4
1,52.496986,13.29121,0,4,4
2,52.498323,13.296157,3,2,5
3,52.499137,13.303743,4,1,5
4,52.500614,13.294401,6,2,8
5,52.51334,13.477181,4,4,8
6,52.502813,13.48485,0,15,15
7,52.512446,13.488618,5,4,9
8,52.509627,13.49787,3,7,10
9,52.500015,13.321258,5,7,12
10,52.505247,13.327885,2,2,4
11,52.512023,13.317568,4,4,8
12,52.506585,13.282371,2,2,4
13,52.487182,13.331541,7,2,9
14,52.490641,13.330647,1,3,4
15,52.493896,13.324143,4,11,15
16,52.48671,13.322675,6,2,8
17,52.490558,13.31333,8,7,15
18,52.494009,13.309832,7,3,10
19,52.505249,13.30296,3,8,11
20,52.513071,13.326504,14,2,16
21,52.512066,13.376611,16,6,22
22,52.513434,13.322788,4,11,15
23,52.509809,13.379384,3,1,4
24,52.502861,13.325082,5,11,16
25,52.508826,13.306448,0,9,9
26,52.523849,13.411227,7,5,12
27,52.473502,13.440874,7,2,9
28,52.484653,13.433832,3,2,5
29,52.467995,13.430847,8,2,10
30,52.472737,13.428618,2,13,15
31,52.469951,13.441477,6,2,8
32,52.474241,13.455552,6,4,10
33,52.487263,13.431263,4,5,10
34,52.526464,13.446953,7,9,16
35,52.515727,13.472426,4,12,16
36,52.515632,13.453413,12,4,16
37,52.507848,13.449569,8,4,12
38,52.500794,13.452464,5,3,8
39,52.497192,13.380079,1,7,8
40,52.487904,13.376718,4,11,15
41,52.488976,13.394571,5,3,8
42,52.487122,13.422333,6,2,8
43,52.49607,13.295705,3,1,4
44,52.501951,13.317018,5,3,8
45,52.499013,13.426178,9,1,10
46,52.507251,13.467077,3,9,12
47,52.497474,13.392295,6,1,7
48,52.505204,13.390837,5,4,9
49,52.50195,13.416246,7,7,14
50,52.495353,13.404831,7,6,13
51,52.494567,13.415278,1,11,12
52,52.491846,13.420875,6,4,10
53,52.493641,13.385655,14,6,20
54,52.498186,13.362336,9,0,9
55,52.488525,13.352451,2,2,4
56,52.504049,13.410793,4,6,10
57,52.496227,13.419697,2,6,8
58,52.540367,13.437471,6,4,10
59,52.494602,13.346799,4,10,14
60,52.499498,13.34101,2,11,13
61,52.498955,13.354408,13,3,16
62,52.532852,13.41236,1,9,10
63,52.497411,13.405658,3,9,12
64,52.526026,13.403953,7,13,20
65,52.51487,13.435484,6,4,10
66,52.509822,13.433468,11,2,13
67,52.532768,13.416935,2,8,10
