,name,distance_meters,category,rating,lat,long,origin
0,Kaiser Wilhelm Memorial Church,73.32558211459008,Churches,4.0,52.5048070449392,13.3351458426792,"52.504157,13.335328"
0,Restaurant Heising,100.35029545938917,French,4.5,52.50322,13.33488,"52.504157,13.335328"
0,Curry Wolf,36.34464499073936,Curry Sausage,4.0,52.5038498,13.3355114,"52.504157,13.335328"
0,Upper Burger Grill,107.62481451553843,Steakhouses,4.0,52.50339,13.33436,"52.504157,13.335328"
0,Falafel Salam,118.29566968489407,Falafel,4.0,52.5034,13.3341,"52.504157,13.335328"
0,Gecco,107.62481451553843,Cocktail Bars,4.0,52.50339,13.33436,"52.504157,13.335328"
0,Weltkugelbrunnen,99.0210619253117,Landmarks & Historical Buildings,4.0,52.50469,13.3365,"52.504157,13.335328"
0,Maredo,105.63452035183307,Steakhouses,3.0,52.50379,13.33548,"52.504157,13.335328"
0,Breitscheidplatz,92.58315037381543,Landmarks & Historical Buildings,3.5,52.5048448792822,13.3360987042907,"52.504157,13.335328"
0,Madami,79.8503282753299,Vietnamese,3.5,52.50358,13.33456,"52.504157,13.335328"
0,Ferri's Ristorante Trattoria,69.95455747253393,Italian,2.0,52.5039299,13.33493,"52.504157,13.335328"
0,ZADDY’S,42.55396574272154,Kebab,4.0,52.5039727,13.335879,"52.504157,13.335328"
0,Berlin-Uhr,100.89260694119844,Landmarks & Historical Buildings,4.0,52.5043,13.3368,"52.504157,13.335328"
0,Goldener Riss,64.01465380721335,Landmarks & Historical Buildings,5.0,52.50451,13.33463,"52.504157,13.335328"
0,Eisgrün,76.50491188931184,Ice Cream & Frozen Yogurt,3.5,52.497480993791,13.2919949398811,"52.496986,13.29121"
0,Tavernetta Azara,101.05361055285441,Italian,5.0,52.496443,13.292407,"52.496986,13.29121"
0,Ristorante Rapallo,51.57352193100481,Italian,4.0,52.4974156404758,13.2914970089037,"52.496986,13.29121"
0,Dos,36.64568394474141,Tex-Mex,3.5,52.49691,13.29109,"52.496986,13.29121"
0,Cups Coffee,51.713564734379105,Cafes,4.5,52.4974506,13.2911756,"52.496986,13.29121"
0,Nam Kio,84.50632783447585,Vietnamese,4.0,52.497163,13.292424,"52.496986,13.29121"
0,Gorgobrunnen,27.16932945996887,Landmarks & Historical Buildings,5.0,52.4968157,13.2909222,"52.496986,13.29121"
0,Caffe Bistro Piccolina,71.22273841444552,Cafes,3.0,52.49657,13.29201,"52.496986,13.29121"
0,Steinecke's Heidebrot Backstube,59.288893819224526,Bakeries,2.5,52.497514,13.291088,"52.496986,13.29121"
0,Eiffel,97.04856188507955,French,4.0,52.49806,13.29479,"52.498323,13.296157"
0,Das Haus der 100 Biere,64.44834459783908,German,3.5,52.49837,13.29693,"52.498323,13.296157"
0,Tre Terre,98.68567898018964,Italian,4.5,52.497456,13.29588,"52.498323,13.296157"
0,sayuri,106.43930007941108,Japanese,4.5,52.4975601,13.2952073,"52.498323,13.296157"
0,Cocktailbar Zeitlos,64.44834459783908,Cocktail Bars,3.5,52.49837,13.29693,"52.498323,13.296157"
0,Gedenktafel für Rudi Dutschke,59.242295670740276,Landmarks & Historical Buildings,4.5,52.4980127,13.2968684,"52.498323,13.296157"
0,Credo Express,46.21567229294258,Cafes,4.5,52.49821,13.2955,"52.498323,13.296157"
0,Der Bäcker Feihl,103.79881054286996,Bakeries,1.5,52.497949,13.297622,"52.498323,13.296157"
0,Roberta,90.88438348341478,Cafes,4.5,52.4999543,13.3037569,"52.499137,13.303743"
0,Pasta Deli,126.77928098496638,Italian,3.5,52.4999379,13.305076,"52.499137,13.303743"
0,Vesper,100.0109800334654,Bars,3.5,52.49937,13.30517,"52.499137,13.303743"
0,Grillhouse,58.10228065589996,Steakhouses,2.5,52.4989522230316,13.3029401320395,"52.499137,13.303743"
0,CoucCous Schale,56.08769976324629,Oriental,4.5,52.4996150680205,13.303478742738,"52.499137,13.303743"
0,Café Schaubühne,126.51486649224054,Cafes,4.0,52.49881,13.30225,"52.499137,13.303743"
0,China-Restaurant Peking,132.8396739770591,Chinese,4.0,52.5,13.3051,"52.499137,13.303743"
0,woga komplex,92.17857842777647,Local Flavor,4.0,52.499,13.3024,"52.499137,13.303743"
0,Lehniner Platz,99.46838922079631,Landmarks & Historical Buildings,4.0,52.4995,13.3024,"52.499137,13.303743"
0,Julie's,57.78572791691153,German,1.0,52.4989807436993,13.3029288523253,"52.499137,13.303743"
0,,,,,,,"52.500614,13.294401"
0,Coffee Fellows,66.61763306477081,Coffee & Tea,4.0,52.5141411,13.4756899,"52.51334,13.477181"
0,Tchibo Filiale,86.62096105602787,Coffee & Tea,5.0,52.5141,13.4769,"52.51334,13.477181"
0,Fischerbrunnen,77.21217494105181,Landmarks & Historical Buildings,4.0,52.513773,13.478073,"52.51334,13.477181"
0,Subway,66.61763306477081,Sandwiches,2.5,52.5141411,13.4756899,"52.51334,13.477181"
0,Cafe-Bäckerei Caramel,115.95131120803109,Cafes,2.0,52.5036156420195,13.48594360169,"52.502813,13.48485"
0,Bäckerei U-Back,21.093172431525453,Bakeries,3.0,52.5126,13.4888,"52.512446,13.488618"
0,Asia Food Anh Minh,19.06184012366773,Food Stands,4.0,52.51251,13.48888,"52.512446,13.488618"
0,McDonald's,43.66022097678979,Burgers,3.5,52.5095835019105,13.4972288380287,"52.509627,13.49787"
0,Lavendel Viet,40.06670951276887,Chinese,4.5,52.50978,13.49837,"52.509627,13.49787"
0,Marooush,97.88725379311832,Arabic,3.5,52.500889,13.321431,"52.500015,13.321258"
0,Aller & Liebst Konditorei,41.23823738083959,Cafes,5.0,52.500189,13.321796,"52.500015,13.321258"
0,Kunstbuchhandlung Galerie 2000,40.0197585964231,Museums,5.0,52.4998816,13.3207089,"52.500015,13.321258"
0,Factory Restaurant & Bar,87.95883319239857,German,5.0,52.49973,13.32264,"52.500015,13.321258"
0,The Paris Premium,71.39195625028587,Pubs,4.0,52.4996617116219,13.3203773556256,"52.500015,13.321258"
0,Restauranrt Abba mia,46.23334004280607,International,2.0,52.4996,13.3213,"52.500015,13.321258"
0,Ottenthal,74.69416923867321,Austrian,4.5,52.50538,13.32682,"52.505247,13.327885"
0,Thai-Elephant,93.25220925833698,Thai,4.5,52.5044398,13.3275113,"52.505247,13.327885"
0,Go Go Hachi,47.52372001718689,Sushi Bars,4.0,52.50502,13.32883,"52.505247,13.327885"
0,Bagco Coffee Bar,18.591367756261878,Cafes,4.0,52.5053827354941,13.3277246151725,"52.505247,13.327885"
0,Nuovo Mario,14.443937632031366,Italian,3.5,52.505237682175,13.327672144164,"52.505247,13.327885"
0,Sagers Kaffeerösterei,62.782686165302934,Coffee Roasteries,4.5,52.5049831999542,13.3287051266618,"52.505247,13.327885"
0,Sausalitos,42.653311012112546,Cocktail Bars,3.0,52.5051229,13.3284813,"52.505247,13.327885"
0,La Piazza Nuovo Mario,53.43928161932905,Italian,4.5,52.505246,13.3283,"52.505247,13.327885"
0,The Pearl,5.336035211826052,Dance Clubs,3.0,52.50529,13.32785,"52.505247,13.327885"
0,Paris Bar,99.99319791894916,French,3.0,52.5054,13.32649,"52.505247,13.327885"
0,Wiener Beisl,88.62086814993518,Austrian,3.5,52.5054,13.3266,"52.505247,13.327885"
0,Burger Now,83.00018564243115,Fast Food,4.0,52.5045339,13.3275226,"52.505247,13.327885"
0,WEINROT Berlin,96.3234126188928,German,4.5,52.5061132,13.3278685,"52.505247,13.327885"
0,Romero,56.400763191400074,Italian,4.0,52.5047401976715,13.3279190041399,"52.505247,13.327885"
0,Künstlerhaus St. Lucas,50.3814760249651,Landmarks & Historical Buildings,5.0,52.5057,13.3279,"52.505247,13.327885"
0,Bar Zentral,82.52070508818734,Bars,4.0,52.5051061017781,13.3290820455078,"52.505247,13.327885"
0,China Snack,99.33621945042762,Chinese,3.0,52.50575,13.3267399,"52.505247,13.327885"
0,Kalyan Shisha & Lounge,100.3812501973786,Hookah Bars,4.0,52.5043760747167,13.327494673017,"52.505247,13.327885"
0,Mimino Royal,74.76170502018768,Georgian,3.0,52.5046370836973,13.327420167625,"52.505247,13.327885"
